,p,panduan
r_1077,5.869310869011507e-18,1
r_1078,7.654224464977805e-89,1
r_1079,1.392882890916881e-68,1
r_1080,1.285628249485949e-62,1
r_1081,0.0,1
r_1082,1000,0
r_1083,0.0,1
r_1084,0.0,1
r_1085,2.0960876711480255e-105,1
r_1086,2.4380315212299877e-49,1
r_1087,0.0,1
r_1088,0.0,1
r_1089,0.0,1
r_1090,1000,0
r_1091,9.753793791849484e-92,1
r_1092,0.0,1
r_1093,1000,0
r_1094,0.0,1
r_1095,1000,0
r_1096,0.0,1
r_1097,0.0,1
r_1098,0.0,1
r_1099,4.6148738250850197e-293,1
r_1100,1.943201253605107e-291,1
r_1101,0.0,1
r_1102,0.0,1
r_1103,0.0,1
r_1104,1000,0
r_1106,0.0,1
r_1107,0.0,1
r_1108,7.180998871862658e-291,1
r_1109,3.716618901477681e-307,1
r_1110,0.0,1
r_1111,1000,0
r_1112,0.0,1
r_1113,2.810893557663416e-272,1
r_1114,0.0,1
r_1115,0.0,1
r_1116,4.026593932661217e-114,1
r_1118,0.0,1
r_1119,1000,0
r_1120,4.306106499302534e-22,1
r_1121,0.0,1
r_1122,0.0,1
r_1123,0.0,1
r_1124,0.0,1
r_1125,0.0,1
r_1126,0.0,1
r_1127,0.0,1
r_1128,3.787237997678725e-291,1
r_1129,2.822894087112923e-232,1
r_1130,0.0,1
r_1131,0.0,1
r_1132,0.0,1
r_1133,0.0,1
r_1134,1000,0
r_1135,0.0,1
r_1136,2.047660907522356e-66,1
r_1137,0.0,1
r_1138,0.0,1
r_1139,0.0,1
r_1146,6.67063711094039e-30,1
r_1147,0.0,1
r_1148,1000,0
r_1149,0.0,1
r_1151,2.977756357157729e-254,1
r_1161,0.0,1
r_1162,1000,0
r_1164,1000,0
r_1165,3.1852426034589847e-58,1
r_1166,0.0,1
r_1167,0.0,1
r_1168,3.4933587109680815e-67,1
r_1169,0.0,1
r_1170,1.752791520631837e-158,1
r_1171,1.2334272061593896e-253,1
r_1172,0.0,1
r_1173,7.335463659204943e-227,1
r_1174,1.622674587762678e-16,1
r_1175,9.007359530532438e-11,1
r_1176,0.0,1
r_1177,0.0,1
r_1178,0.0,1
r_1179,0.0,1
r_1180,4.7073463998816444e-54,1
r_1181,7.530673053613042e-66,1
r_1182,1.943201253605107e-291,1
r_1183,0.0,1
r_1184,1.9999122741476733e-57,1
r_1185,3.9801682088377127e-82,1
r_1186,7.27571396955708e-202,1
r_1187,7.987903448902316e-273,1
r_1188,7.987903448902316e-273,1
r_1189,0.0,1
r_1190,1.2994931048365282e-116,1
r_1191,1000,0
r_1192,1.2716360641329108e-270,1
r_1193,1000,0
r_1194,0.0,1
r_1195,0.0,1
r_1196,4.8109130161940115e-141,1
r_1197,0.0,1
r_1198,0.0,1
r_1199,0.0,1
r_1200,5.708687311030121e-11,1
r_1201,1.0741476600505887e-130,1
r_1202,0.0,1
r_1203,1.2437830339391861e-154,1
r_1204,0.0,1
r_1205,0.0,1
r_1206,1000,0
r_1207,1000,0
r_1208,1.0435484708427695e-281,1
r_1209,7.476341443841702e-215,1
r_1210,2.918429209689376e-274,1
r_1211,2.045770508420584e-102,1
r_1212,0.0,1
r_1213,7.182589676435518e-33,1
r_1214,5.112317247898703e-41,1
r_1215,0.0,1
r_1216,1.1373834351955756e-288,1
r_1217,2.437193716144213e-183,1
r_1218,2.1934350088438507e-97,1
r_1219,1.6879957790583272e-133,1
r_1220,0.0,1
r_1221,0.0,1
r_1222,0.0,1
r_1223,3.359667960949611e-181,1
r_1224,9.43978529074115e-81,1
r_1225,3.7177131691159555e-295,1
r_1226,3.1476071300908386e-195,1
r_1227,1000,0
r_1228,1.1653993722372843e-71,1
r_1229,0.0,1
r_1230,1000,0
r_1231,0.0,1
r_1232,1000,0
r_1235,0.0,1
r_1236,1.522205657185544e-19,1
r_1237,0.0,1
r_1238,1.6604681987178081e-267,1
r_1239,2.3840688627215925e-244,1
r_1241,5.4183426495252234e-58,1
r_1242,1.943201253605107e-291,1
r_1243,0.0,1
r_1244,0.0,1
r_1245,0.0,1
r_1249,0.0,1
r_1250,1000,0
r_1251,0.0,1
r_1252,1000,0
r_1253,0.0,1
r_1254,0.0,1
r_1255,0.0,1
r_1256,0.0,1
r_1257,1000,0
r_1258,2.142207748364804e-80,1
r_1259,1000,0
r_1260,8.147843722203484e-275,1
r_1261,1000,0
r_1262,0.0,1
r_1263,1000,0
r_1264,1.308546336675499e-135,1
r_1265,1.47906511797818e-181,1
r_1266,0.0,1
r_1267,7.531299102874231e-152,1
r_1268,1.2626566484841696e-145,1
r_1269,1000,0
r_1270,0.0,1
r_1271,1000,0
r_1272,0.0,1
r_1273,0.0,1
r_1274,0.0,1
r_1275,0.0,1
r_1276,0.0,1
r_1277,0.0,1
r_1278,3.124377826420259e-42,1
r_1449,5.84554511067775e-310,1
r_1450,0.0,1
r_1451,0.0,1
r_1452,0.0,1
r_1453,3.6144598595595486e-228,1
r_1454,0.0,1
r_1455,0.0,1
r_1456,1.0684876137925894e-198,1
r_1457,2.873917329999562e-293,1
r_1458,7.688837308420638e-198,1
r_1479,0.0,1
r_1480,8.121840949627984e-199,1
r_1481,0.0,1
r_1482,0.0,1
r_1483,0.0,1
r_1484,1.0819755481978628e-240,1
r_1485,0.0,1
r_1486,6.356537496795564e-292,1
r_1487,0.0,1
r_1488,0.0,1
r_1509,0.0,1
r_1510,3.1927714470469946e-242,1
r_1511,0.0,1
r_1512,0.0,1
r_1513,0.0,1
r_1514,4.7319645338410834e-247,1
r_1515,0.0,1
r_1516,0.0,1
r_1517,0.0,1
r_1518,0.0,1
r_1542,1000,0
r_1543,1000,0
r_1545,1000,0
r_1546,2.047660907522356e-66,1
r_1547,0.0,1
r_1548,5.418342649515372e-58,1
r_1549,0.0,1
r_1550,0.0,1
r_1551,1000,0
r_1552,5.308220048460657e-135,1
r_1553,0.0,1
r_1554,1000,0
r_1560,1.0355806348039103e-26,1
r_1562,0.0,1
r_1563,1.0170390617151379e-71,1
r_1564,0.0,1
r_1565,1.7149509826194494e-211,1
r_1566,8.819040354286482e-129,1
r_1567,0.0,1
r_1568,8.809921523752476e-58,1
r_1572,0.0,1
r_1573,0.0,1
r_1574,0.0,1
r_1575,0.0,1
r_1576,0.0,1
r_1577,0.0,1
r_1578,0.0,1
r_1579,0.0,1
r_1580,0.0,1
r_1581,0.0,1
r_1582,2.2232394634491123e-133,1
r_1583,0.0,1
r_1585,2.896493074413192e-194,1
r_1586,0.0,1
r_1587,1000,0
r_1588,0.0,1
r_1589,0.0,1
r_1590,0.0,1
r_1591,0.0,1
r_1595,1000,0
r_1596,2.6442893306150627e-248,1
r_1597,0.0,1
r_1598,3.494955593202616e-10,1
r_1599,3.494955593202616e-10,1
r_1600,5.0142170775972205e-92,1
r_1601,1.943201253605107e-291,1
r_1603,7.395897827011765e-256,1
r_1604,0.0,1
r_1605,0.0,1
r_1606,0.0,1
r_1607,9.637396111968045e-52,1
r_1608,9.637396111985449e-52,1
r_1609,0.0,1
r_1610,0.0,1
r_1611,1.943201253605107e-291,1
r_1613,4.891379965343603e-80,1
r_1614,9.235063822797544e-148,1
r_1615,4.503397265051929e-43,1
r_1616,0.0,1
r_1617,4.432678463401115e-08,1
r_1618,3.362584712465316e-21,1
r_1619,4.130654993608184e-154,1
r_1620,0.0,1
r_1621,0.0,1
r_1622,0.0,1
r_1623,1.5954348451499537e-44,1
r_1624,1.3415703640477793e-155,1
r_1625,0.0,1
r_1627,1000,0
r_1628,1000,0
r_1629,1000,0
r_1630,2.8804766925767626e-126,1
r_1631,0.0,1
r_1632,0.0,1
r_1633,0.0,1
r_1634,0.0,1
r_1635,1000,0
r_1637,1000,0
r_1638,1.1050466209993083e-16,1
r_1639,7.180998871862658e-291,1
r_1640,1000,0
r_1641,4.815044722025016e-70,1
r_1642,1.3672382202289756e-105,1
r_1643,3.716618901477681e-307,1
r_1644,0.0,1
r_1645,6.774990159323865e-67,1
r_1647,0.0,1
r_1648,2.810893557663416e-272,1
r_1649,0.0,1
r_1650,4.754866648940515e-292,1
r_1651,1.5232237709684036e-161,1
r_1652,0.0,1
r_1654,0.0,1
r_1656,1.1708300594811994e-249,1
r_1657,1000,0
r_1658,1000,0
r_1659,0.0,1
r_1660,0.0,1
r_1661,6.774990159323865e-67,1
r_1663,1000,0
r_1664,1000,0
r_1665,1.8225656691680335e-253,1
r_1667,5.344590727683314e-254,1
r_1668,1000,0
r_1669,1.8225656691680335e-253,1
r_1671,1000,0
r_1672,0.0,1
r_1673,1.1050466209993083e-16,1
r_1674,1.0387001342013454e-24,1
r_1675,4.4686778971241466e-197,1
r_1676,5.303154126180735e-177,1
r_1677,0.0,1
r_1678,0.0,1
r_1679,0.0,1
r_1680,0.0,1
r_1681,0.0,1
r_1682,0.0,1
r_1683,2.2239229082014103e-208,1
r_1684,0.0,1
r_1685,1.943201253605107e-291,1
r_1686,4.4018783650475855e-60,1
r_1687,4.4018783650475855e-60,1
r_1688,2.0586545168918645e-176,1
r_1689,0.0,1
r_1690,0.0,1
r_1691,3.0128413170171394e-39,1
r_1694,1.8225656691680335e-253,1
r_1695,2.0586545168918645e-176,1
r_1696,0.0,1
r_1697,0.0,1
r_1698,5.020110418126738e-78,1
r_1699,1000,0
r_1700,8.840474395524348e-266,1
r_1702,0.0,1
r_1703,0.0,1
r_1704,9.792087126930283e-52,1
r_1705,0.0,1
r_1706,0.0,1
r_1707,0.0,1
r_1708,0.0,1
r_1709,1000,0
r_1710,0.0,1
r_1711,1000,0
r_1712,1000,0
r_1713,1.5232237709684036e-161,1
r_1714,0.0,1
r_1715,0.0,1
r_1716,0.0,1
r_1717,1000,0
r_1718,1000,0
r_1719,1000,0
r_1720,5.122726829864286e-258,1
r_1721,4.4686778971241466e-197,1
r_1722,5.51199154796184e-63,1
r_1723,1000,0
r_1724,6.478448365865851e-93,1
r_1725,1000,0
r_1726,2.0943644090230483e-248,1
r_1727,3.9925497232270066e-141,1
r_1728,1.0170390617151379e-71,1
r_1729,1.2010225527554211e-51,1
r_1730,0.0,1
r_1731,0.0,1
r_1732,0.0,1
r_1733,1.7149509826194494e-211,1
r_1734,8.045504698482881e-57,1
r_1735,8.819040354286482e-129,1
r_1736,5.488306061124045e-177,1
r_1737,0.0,1
r_1738,0.0,1
r_1739,1000,0
r_1743,8.194021234711104e-272,1
r_1744,0.0,1
r_1745,0.0,1
r_1746,1.1831836412241756e-51,1
r_1747,4.026593932664892e-114,1
r_1748,0.0,1
r_1749,1.8994695290801926e-78,1
r_1750,1.89946952908193e-78,1
r_1751,1.285628249485949e-62,1
r_1752,1.285628249485949e-62,1
r_1753,6.670637110928317e-30,1
r_1754,0.0,1
r_1757,0.0,1
r_1758,0.0,1
r_1759,3.4854378414492084e-74,1
r_1761,0.0,1
r_1762,0.0,1
r_1763,0.0,1
r_1764,0.0,1
r_1765,0.0,1
r_1766,0.0,1
r_1770,3.9925497232270066e-141,1
r_1771,3.624825653563432e-178,1
r_1772,4.052773348973502e-71,1
r_1774,1.7082375689219468e-52,1
r_1775,1.2654174279065877e-18,1
r_1776,9.116515144888094e-242,1
r_1777,1.7253369943820048e-152,1
r_1788,0.0,1
r_1790,2.977756357157729e-254,1
r_1791,0.0,1
r_1792,1000,0
r_1793,0.0,1
r_1794,0.0,1
r_1795,0.0,1
r_1796,1.1878104159711896e-127,1
r_1797,5.314375439481868e-100,1
r_1798,1.1878104159711896e-127,1
r_1800,0.0,1
r_1801,3.1852426034561137e-58,1
r_1802,0.0,1
r_1803,3.1852426034561137e-58,1
r_1805,4.054108378925845e-13,1
r_1806,0.0,1
r_1807,0.0,1
r_1808,0.0,1
r_1809,1.1831836412241756e-51,1
r_1810,7.335463659204943e-227,1
r_1811,5.588403654840941e-264,1
r_1812,0.0,1
r_1813,0.0,1
r_1814,0.0,1
r_1815,0.0,1
r_1816,0.0,1
r_1817,0.0,1
r_1818,0.0,1
r_1819,1000,0
r_1820,0.0,1
r_1821,4.324750305212213e-115,1
r_1822,1000,0
r_1823,0.0,1
r_1824,2.4391684814517755e-241,1
r_1825,0.0,1
r_1826,9.644266701742016e-171,1
r_1827,0.0,1
r_1829,1.0083110475905548e-253,1
r_1830,0.0,1
r_1831,0.0,1
r_1832,0.0,1
r_1833,2.421100123747495e-37,1
r_1834,1000,0
r_1835,6.6756499508017e-12,1
r_1836,2.720804727561809e-22,1
r_1837,1000,0
r_1838,4.6148738250850197e-293,1
r_1839,0.0,1
r_1840,0.0,1
r_1841,2.680691102941622e-151,1
r_1842,2.680691102943915e-151,1
r_1843,3.3858782515177e-311,1
r_1844,2.108264014255021e-105,1
r_1845,3.3858782515177e-311,1
r_1846,2.8763835724043656e-197,1
r_1847,0.0,1
r_1848,0.0,1
r_1849,1.0355806348039103e-26,1
r_1850,3.827308055784724e-119,1
r_1851,5.303154126180735e-177,1
r_1852,0.0,1
r_1853,0.0,1
r_1854,0.0,1
r_1855,0.0,1
r_1856,0.0,1
r_1857,0.0,1
r_1858,0.0,1
r_1859,0.0,1
r_1860,0.0,1
r_1861,0.0,1
r_1862,4.7073463998816444e-54,1
r_1863,1.3210396646474299e-25,1
r_1864,5.0142170775972205e-92,1
r_1865,1.3210396646474299e-25,1
r_1866,0.0,1
r_1867,7.530673053613042e-66,1
r_1868,0.0,1
r_1869,0.0,1
r_1870,2.2232394634491123e-133,1
r_1871,0.0,1
r_1872,2.7267605042587692e-83,1
r_1873,0.0,1
r_1874,4.9715933259952305e-34,1
r_1875,1000,0
r_1876,1000,0
r_1877,1000,0
r_1878,1000,0
r_1879,1.9999122741476733e-57,1
r_1880,1.1285750901313396e-302,1
r_1881,3.6574547360918925e-98,1
r_1882,2.082513170641671e-38,1
r_1883,1.2716360641329108e-270,1
r_1884,0.0,1
r_1885,0.0,1
r_1886,1000,0
r_1887,2.795868560694047e-165,1
r_1889,4.8109130161940115e-141,1
r_1890,2.0943644090230483e-248,1
r_1891,0.0,1
r_1892,2.0943644090230483e-248,1
r_1893,1.0741476600505887e-130,1
r_1895,8.127329457088213e-47,1
r_1896,8.127329457095558e-47,1
r_1897,0.0,1
r_1898,6.331924211258532e-209,1
r_1899,2.045770508420584e-102,1
r_1900,7.18258967644203e-33,1
r_1901,0.0,1
r_1902,5.112317247898703e-41,1
r_1903,0.0,1
r_1904,1.1373834351955756e-288,1
r_1905,6.0731421198494345e-199,1
r_1906,2.437193716144213e-183,1
r_1907,3.0128413170144125e-39,1
r_1908,1000,0
r_1909,1000,0
r_1910,1000,0
r_1911,2.1934350088438507e-97,1
r_1912,1.6879957790598673e-133,1
r_1913,3.359667960949611e-181,1
r_1914,9.43978529074115e-81,1
r_1915,3.7177131691159555e-295,1
r_1916,2.467187787691245e-102,1
r_1919,1000,0
r_1920,0.0,1
r_1921,0.0,1
r_1922,0.0,1
r_1923,0.0,1
r_1924,0.0,1
r_1925,0.0,1
r_1926,0.0,1
r_1927,0.0,1
r_1928,0.0,1
r_1929,7.431848697639528e-181,1
r_1930,0.0,1
r_1931,1000,0
r_1932,0.0,1
r_1935,1000,0
r_1936,0.0,1
r_1937,0.0,1
r_1938,7.71259647444618e-264,1
r_1939,0.0,1
r_1940,0.0,1
r_1941,7.351942090524964e-181,1
r_1942,0.0,1
r_1943,0.0,1
r_1944,0.0,1
r_1945,3.099599206748824e-286,1
r_1946,7.626263338059978e-299,1
r_1947,0.0,1
r_1952,1.1653993722372843e-71,1
r_1963,4.360900150323734e-270,1
r_1964,4.360900150323734e-270,1
r_1965,0.0,1
r_1966,1000,0
r_1967,0.0,1
r_1968,5.09914387473298e-272,1
r_1970,2.0943644090230483e-248,1
r_1971,3.3091092050579823e-147,1
r_1972,5.09914387473298e-272,1
r_1974,0.0001447157653329212,1
r_1975,4.9508902566693724e-133,1
r_1976,2.082513170641671e-38,1
r_1977,3.3730135171301677e-163,1
r_1978,0.0,1
r_1979,0.0,1
r_1980,0.0,1
r_1981,1.5102337139509163e-100,1
r_1984,9.116515144888094e-242,1
r_1987,1.6604681987178081e-267,1
r_1988,0.0,1
r_1989,0.0,1
r_1990,0.0,1
r_1991,0.0,1
r_1992,0.0,1
r_1993,6.675649950795713e-12,1
r_1994,2.720804727561809e-22,1
r_1995,3.0128413170144125e-39,1
r_1996,6.075644622954877e-177,1
r_1997,1.3460445190365394e-32,1
r_1998,4.81504472201634e-70,1
r_1999,1000,0
r_2000,0.0,1
r_2001,0.0,1
r_2002,0.0,1
r_2003,0.0,1
r_2004,1000,0
r_2005,0.0,1
r_2008,1000,0
r_2020,0.0,1
r_2022,0.0,1
r_2023,1000,0
r_2024,0.0,1
r_2025,0.0,1
r_2026,9.224576391315236e-38,1
r_2027,9.224576391315236e-38,1
r_2028,0.0,1
r_2029,1000,0
r_2030,0.0,1
r_2031,8.520629248518406e-153,1
r_2032,0.0,1
r_2033,0.0,1
r_2034,0.0,1
r_2036,0.0,1
r_2037,0.0,1
r_2038,4.128985038327103e-212,1
r_2039,2.9776229167488358e-254,1
r_2040,9.438434960500852e-260,1
r_2041,0.0,1
r_2042,4.7580978767527284e-287,1
r_2043,0.0,1
r_2044,1000,0
r_2045,0.0,1
r_2046,1.752791520631837e-158,1
r_2049,0.0,1
r_2050,1000,0
r_2051,8.147843722203484e-275,1
r_2052,0.0,1
r_2053,3.3730135171301677e-163,1
r_2054,3.3730135171301677e-163,1
r_2055,1.5102337139509163e-100,1
r_2056,0.0,1
r_2057,0.0,1
r_2058,1000,0
r_2060,0.0,1
r_2061,7.531299102874231e-152,1
r_2062,1.2626566484841696e-145,1
r_2063,5.771958634219011e-84,1
r_2064,6.527614680916259e-47,1
r_2065,6.5246349332533145e-47,1
r_2066,8.07997180263341e-206,1
r_2067,0.0,1
r_2068,0.0,1
r_2069,0.0,1
r_2070,5.575050106746305e-44,1
r_2071,0.0,1
r_2072,5.630140468058548e-44,1
r_2073,3.1212091206825485e-259,1
r_2074,0.0007200328709105347,1
r_2075,3.1212091206825485e-259,1
r_2079,4.754866648940515e-292,1
r_2080,7.635328920564082e-23,1
r_2082,1000,0
r_2083,5.631586109388545e-33,1
r_2084,5.631586109388545e-33,1
r_2085,2.108264014255021e-105,1
r_2086,1000,0
r_2087,0.0,1
r_2089,2.291185356376246e-19,1
r_2090,0.0,1
r_2091,0.0,1
r_2092,0.0,1
r_2093,0.0,1
r_2094,0.0,1
r_2095,3.335076566294865e-129,1
r_2096,0.0,1
r_2097,1.8225656691680335e-253,1
r_2098,0.0,1
r_2099,3.3904273603651827e-200,1
r_2100,0.0,1
r_2101,2.8804766925793907e-126,1
r_2102,0.0,1
r_2103,0.0,1
r_2104,0.0,1
r_2105,0.0,1
r_2106,3.124377826420259e-42,1
r_2107,5.911367486931905e-99,1
r_2108,0.0,1
r_2111,0.0,1
r_2112,1000,0
r_2113,1000,0
r_2114,0.0,1
r_2115,0.0,1
r_2116,7.50743681090126e-33,1
r_2117,0.0,1
r_2118,0.0,1
r_2119,4.174117187454593e-281,1
r_2125,0.0,1
r_2126,1.519916156159893e-42,1
r_2129,1.0959047601988018e-59,1
r_2131,2.2891271103263776e-266,1
r_2132,0.0,1
r_2134,2.2845151978967845e-69,1
r_2136,2.2845151978967845e-69,1
r_2137,3.603948769458839e-211,1
r_2139,3.603948769458839e-211,1
r_2140,2.899450707094895e-206,1
r_2141,5.017614812764351e-216,1
r_2142,1000,0
r_2143,1000,0
r_2144,1000,0
r_2145,1000,0
r_2146,1000,0
r_2147,1000,0
r_2148,1000,0
r_2149,1000,0
r_2150,1000,0
r_2151,1000,0
r_2152,1000,0
r_2153,1000,0
r_2154,4.349222243947851e-115,1
r_2155,3.668575190336575e-184,1
r_2156,4.181669982889526e-186,1
r_2157,5.386098404152721e-244,1
r_2158,3.0849650082070317e-279,1
r_2159,2.659905553364422e-152,1
r_2160,2.8051127040920005e-25,1
r_2161,4.349222243947851e-115,1
r_2162,3.668575190336575e-184,1
r_2163,4.181669982889526e-186,1
r_2164,5.386098404152721e-244,1
r_2165,3.0849650082070317e-279,1
r_2166,2.659905553364422e-152,1
r_2167,2.8051127040920005e-25,1
r_2168,4.349222243947851e-115,1
r_2169,3.668575190336575e-184,1
r_2170,4.181669982889526e-186,1
r_2171,5.386098404152721e-244,1
r_2172,3.0849650082070317e-279,1
r_2173,2.659905553364422e-152,1
r_2174,2.8051127040920005e-25,1
r_2175,4.349222243947851e-115,1
r_2176,3.668575190336575e-184,1
r_2177,4.181669982889526e-186,1
r_2178,5.386098404152721e-244,1
r_2179,3.0849650082070317e-279,1
r_2180,2.659905553364422e-152,1
r_2181,2.8051127040920005e-25,1
r_2182,0.0,1
r_2183,2.3698170818986824e-80,1
r_2184,9.116515144888094e-242,1
r_2185,3.9925497232270066e-141,1
r_2186,2.467187787691245e-102,1
r_2187,2.6207515659945455e-262,1
r_2188,1.0130800121809802e-269,1
r_2189,2.4845943123705506e-76,1
r_2190,2.6207515659945455e-262,1
r_2191,1.0130800121809802e-269,1
r_2192,2.4845943123728244e-76,1
r_2193,1.7253369943820048e-152,1
r_2194,0.0,1
r_2195,0.0,1
r_2196,0.0,1
r_2197,0.0,1
r_2198,0.0,1
r_2199,0.0,1
r_2200,0.0,1
r_2201,0.0,1
r_2202,0.0,1
r_2203,0.0,1
r_2204,0.0,1
r_2205,0.0,1
r_2206,1.6549761660920961e-09,1
r_2207,6.501241021858927e-23,1
r_2208,2.4729263703804487e-23,1
r_2209,1000,0
r_2210,1000,0
r_2211,0.0,1
r_2212,0.0,1
r_2213,1000,0
r_2214,0.0,1
r_2215,0.0,1
r_2216,1000,0
r_2217,0.0,1
r_2218,0.0,1
r_2219,7.130185150345559e-115,1
r_2220,2.4357044475399877e-74,1
r_2221,5.162604849471074e-164,1
r_2222,2.09730145479269e-65,1
r_2223,2.8221263660707343e-49,1
r_2224,6.824248655180382e-120,1
r_2225,3.2364441916479197e-25,1
r_2226,0.0,1
r_2227,1.6259185655205235e-240,1
r_2228,2.8051127040920005e-25,1
r_2229,2.6207515659945455e-262,1
r_2230,1.0130800121809802e-269,1
r_2231,1.8374941923434263e-91,1
r_2232,2.6207515659945455e-262,1
r_2233,1.0130800121809802e-269,1
r_2234,5.298311541479776e-25,1
r_2235,8.733498000855795e-19,1
r_2236,4.52931565092758e-48,1
r_2237,2.761556981201337e-309,1
r_2238,0.0,1
r_2239,5.386098404152721e-244,1
r_2240,3.0849650082070317e-279,1
r_2241,2.659905553364422e-152,1
r_2242,0.0,1
r_2243,0.0,1
r_2244,0.0,1
r_2245,7.255767812934249e-90,1
r_2246,7.255767812934249e-90,1
r_2247,7.255767812934249e-90,1
r_2248,0.0,1
r_2249,0.0,1
r_2250,1.6447943635747166e-142,1
r_2251,2.3679894025522203e-190,1
r_2252,2.4544305347041758e-194,1
